Date,Opponent,Player,Points,Attack Points,Block Points,Serve Points,Position
29-07-2024,Netherlands,Melissa Vargas,30,29,1,0,Opposite Spiker
01-08-2024,Dominican Republic,Melissa Vargas,31,26,2,3,Opposite Spiker
04-08-2024,Italy,Melissa Vargas,13,13,0,0,Opposite Spiker
06-08-2024,China,Melissa Vargas,42,38,2,2,Opposite Spiker
08-08-2024,Italy,Melissa Vargas,17,17,0,0,Opposite Spiker
10-08-2024,Brazil,Melissa Vargas,17,17,0,0,Opposite Spiker
29-07-2024,Netherlands,Ebrar Karakurt,10,9,1,0,Outside Hitter
01-08-2024,Dominican Republic,Ebrar Karakurt,3,2,0,1,Outside Hitter
04-08-2024,Italy,Ebrar Karakurt,1,1,0,0,Outside Hitter
06-08-2024,China,Ebrar Karakurt,7,5,0,2,Outside Hitter
08-08-2024,Italy,Ebrar Karakurt,3,3,0,0,Outside Hitter
10-08-2024,Brazil,Ebrar Karakurt,0,0,0,0,Outside Hitter
29-07-2024,Netherlands,Eda Erdem Dündar,12,9,2,1,Middle Blocker
01-08-2024,Dominican Republic,Eda Erdem Dündar,14,11,2,1,Middle Blocker
04-08-2024,Italy,Eda Erdem Dündar,3,3,0,0,Middle Blocker
06-08-2024,China,Eda Erdem Dündar,9,8,1,0,Middle Blocker
08-08-2024,Italy,Eda Erdem Dündar,7,5,2,0,Middle Blocker
10-08-2024,Brazil,Eda Erdem Dündar,13,6,7,0,Middle Blocker
29-07-2024,Netherlands,Derya Cebecioğlu,3,3,0,0,Outside Hitter
01-08-2024,Dominican Republic,Derya Cebecioğlu,0,0,0,0,Outside Hitter
04-08-2024,Italy,Derya Cebecioğlu,4,4,0,0,Outside Hitter
06-08-2024,China,Derya Cebecioğlu,5,3,1,1,Outside Hitter
08-08-2024,Italy,Derya Cebecioğlu,7,7,0,0,Outside Hitter
10-08-2024,Brazil,Derya Cebecioğlu,14,12,0,2,Outside Hitter
29-07-2024,Netherlands,Meliha Diken,3,3,0,0,Outside Hitter
01-08-2024,Dominican Republic,Meliha Diken,0,0,0,0,Outside Hitter
04-08-2024,Italy,Meliha Diken,0,0,0,0,Outside Hitter
06-08-2024,China,Meliha Diken,8,6,1,1,Outside Hitter
08-08-2024,Italy,Meliha Diken,4,4,0,0,Outside Hitter
10-08-2024,Brazil,Meliha Diken,6,4,2,0,Outside Hitter
29-07-2024,Netherlands,Aslı Kalaç,7,4,2,1,Middle Blocker
01-08-2024,Dominican Republic,Aslı Kalaç,0,0,0,0,Middle Blocker
04-08-2024,Italy,Aslı Kalaç,0,0,0,0,Middle Blocker
06-08-2024,China,Aslı Kalaç,0,0,0,0,Middle Blocker
08-08-2024,Italy,Aslı Kalaç,0,0,0,0,Middle Blocker
10-08-2024,Brazil,Aslı Kalaç,6,2,3,1,Middle Blocker
29-07-2024,Netherlands,Elif Şahin,3,1,1,1,Setter
01-08-2024,Dominican Republic,Elif Şahin,3,1,0,2,Setter
04-08-2024,Italy,Elif Şahin,1,1,0,0,Setter
06-08-2024,China,Elif Şahin,4,4,0,0,Setter
08-08-2024,Italy,Elif Şahin,4,2,2,0,Setter
10-08-2024,Brazil,Elif Şahin,3,1,2,0,Setter
29-07-2024,Netherlands,Hande Baladın,12,10,1,1,Outside Hitter
01-08-2024,Dominican Republic,Hande Baladın,10,5,3,2,Outside Hitter
04-08-2024,Italy,Hande Baladın,6,6,0,0,Outside Hitter
06-08-2024,China,Hande Baladın,13,11,1,1,Outside Hitter
08-08-2024,Italy,Hande Baladın,4,4,0,0,Outside Hitter
10-08-2024,Brazil,Hande Baladın,1,1,0,0,Outside Hitter
29-07-2024,Netherlands,Gizem Örge,0,0,0,0,Libero
01-08-2024,Dominican Republic,Gizem Örge,0,0,0,0,Libero
04-08-2024,Italy,Gizem Örge,0,0,0,0,Libero
06-08-2024,China,Gizem Örge,0,0,0,0,Libero
08-08-2024,Italy,Gizem Örge,0,0,0,0,Libero
10-08-2024,Brazil,Gizem Örge,0,0,0,0,Libero
29-07-2024,Netherlands,Cansu Özbay,0,0,0,0,Setter
01-08-2024,Dominican Republic,Cansu Özbay,0,0,0,0,Setter
04-08-2024,Italy,Cansu Özbay,1,0,1,0,Setter
06-08-2024,China,Cansu Özbay,0,0,0,0,Setter
08-08-2024,Italy,Cansu Özbay,0,0,0,0,Setter
10-08-2024,Brazil,Cansu Özbay,0,0,0,0,Setter
01-08-2024,Dominican Republic,Zehra Güneş,9,5,4,0,Middle Blocker
04-08-2024,Italy,Zehra Güneş,4,2,1,1,Middle Blocker
06-08-2024,China,Zehra Güneş,7,3,2,2,Middle Blocker
08-08-2024,Italy,Zehra Güneş,6,2,4,0,Middle Blocker
10-08-2024,Brazil,Cansu Özbay,0,0,0,0,Middle Blocker
29-07-2024,Netherlands,İlkin Aydın,0,0,0,0,Outside Hitter
01-08-2024,Dominican Republic,İlkin Aydın,10,10,0,0,Outside Hitter
04-08-2024,Italy,İlkin Aydın,2,2,0,0,Outside Hitter
06-08-2024,China,İlkin Aydın,0,0,0,0,Outside Hitter
08-08-2024,Italy,İlkin Aydın,0,0,0,0,Outside Hitter
10-08-2024,Brazil,İlkin Aydın,0,0,0,0,Outside Hitter
